most_recent_visit,active,created,birth_y_m,age,most_recent_y,most_recent_m,most_recent_d,total_ltv_inc,total_ltv_ex,product,days_since_last_pay,subscription_duration_days,total_cancellations,total_entries,cancellation_date,n_quits,check_in,theoretical_inactive_date,anon_id
2025-08-11 11:46:00,no,2018-07-04,1985-06-01,41.0,2025,8,11,40701.0,38397.18,crossfit_12_mån_autogiro_fullt_medlemskap,44.0,1675.0,122.0,270.0,2025-12-15,4.0,271.0,2026-01-28,67d88bef-77e6-4949-93ab-d82401f0594c
2021-10-28 06:29:00,no,2018-07-10,1988-12-01,38.0,2021,10,28,3495.0,3297.16,crossfit_12_mån_autogiro_fullt_medlemskap,1597.0,122.0,,23.0,2021-09-15,2.0,23.0,2021-10-28,53bcba35-2d96-4970-b468-82061c1447da
2026-02-11 17:31:00,yes,2018-07-30,1990-07-01,36.0,2026,2,11,51949.9912,49009.46,crossfit_6_mån_autogiro_fullt_medlemskap,13.0,1558.0,81.0,379.0,,,379.0,2026-02-26,738dc7ee-0094-4626-84c5-747d8f04dbfe
2024-05-22 11:37:00,no,2018-07-30,1985-07-01,41.0,2024,5,22,47152.0,44483.03,crossfit_12_mån_autogiro_fullt_medlemskap,197.0,1522.0,17.0,48.0,2025-07-21,2.0,48.0,2025-08-27,57544740-30dc-42e3-b216-ad4618df922f
2023-01-12 15:07:00,no,2018-08-23,1991-12-01,35.0,2023,1,12,6742.0,6360.38,crossfit_12_mån_autogiro_fullt_medlemskap,1140.0,518.0,34.0,33.0,2022-12-15,1.0,33.0,2023-01-26,9755ef85-b7e0-4c17-8aac-29aa102f079d
2022-10-16 13:58:00,no,2018-08-27,1990-03-01,36.0,2022,10,16,15791.0,14897.18,crossfit_12_mån_autogiro_fullt_medlemskap,1232.0,487.0,33.0,145.0,2022-09-22,1.0,145.0,2022-10-27,ff6644ed-7fca-4fc2-8ef9-4a84fba8c546
2021-09-29 18:03:00,no,2018-08-30,1998-02-01,28.0,2021,9,29,5094.0,4805.64,crossfit_12_mån_autogiro_student_fullt_medlemskap,1566.0,153.0,,32.0,2022-12-07,1.0,32.0,2021-10-28,29d342e9-7933-4c76-a114-4b25d5327e2a
2025-02-21 15:59:00,no,2018-09-11,1991-11-01,35.0,2025,2,21,36582.0,34511.35,crossfit_6_mån_autogiro_fullt_medlemskap,378.0,1184.0,155.0,343.0,2025-01-28,2.0,343.0,2025-02-27,ad01ce4f-c926-4105-bdd9-9200f4c09cd5
2025-05-28 16:27:00,no,2018-09-15,1992-06-01,34.0,2025,5,28,19809.0,18687.7,crossfit_12_mån_autogiro_student_fullt_medlemskap,228.0,1491.0,177.0,242.0,2025-05-07,3.0,242.0,2025-07-27,d55daf33-75d1-438b-ba2a-8ed5ffa45b27
2021-08-16 18:05:00,no,2018-11-17,1997-01-01,29.0,2021,8,16,2547.0,2402.82,crossfit_12_mån_autogiro_student_fullt_medlemskap,1658.0,61.0,20.0,39.0,2021-07-30,1.0,39.0,2021-08-26,5ff44a17-0e33-4306-b503-af3e7904be83
2024-09-10 17:09:00,no,2019-01-17,1997-08-01,29.0,2024,9,10,300.0,283.02,klippkort_-_entré,521.0,21.0,15.0,33.0,,,35.0,,e5314f5b-e492-484b-8254-85773cfd4231
2021-07-15 05:15:00,no,2019-01-19,1991-03-01,35.0,2021,7,15,1198.0,1130.18,crossfit_12_mån_autogiro_open_gym,1689.0,30.0,,18.0,2021-06-21,2.0,18.0,2021-07-29,fd697b41-1922-4786-8ac1-350b603539a9
2021-07-15 06:06:00,no,2019-01-19,1991-08-01,35.0,2021,7,15,1198.0,1130.18,crossfit_12_mån_autogiro_open_gym,1689.0,30.0,,22.0,2021-06-21,2.0,22.0,2021-07-29,818434e4-d796-4ca7-ba03-b8b3cdddada7
2021-09-20 12:04:00,no,2019-01-28,1999-05-01,27.0,2021,9,20,2978.0,2809.4300000000003,crossfit_6_mån_autogiro_open_gym,1627.0,70.0,,14.0,2021-11-19,1.0,14.0,2021-09-26,0dd6ef71-9792-4511-91ea-5560ecbc2a14
2025-06-16 18:04:00,no,2019-02-26,1992-05-01,34.0,2025,6,16,22702.0,21416.95,crossfit_12_mån_autogiro_fullt_medlemskap,228.0,1491.0,61.0,203.0,2025-05-07,3.0,204.0,2025-07-27,f904c600-8ddd-4a58-af53-a2905c8ae2d4
2024-07-30 08:59:00,no,2019-02-27,1991-02-01,35.0,2024,7,30,37680.0,35547.189999999995,crossfit_6_mån_autogiro_fullt_medlemskap,470.0,1249.0,189.0,392.0,2024-10-29,2.0,392.0,2024-11-27,76d6f9d0-324f-4d29-9018-c9e66606061f
2024-12-10 11:32:00,no,2019-02-27,1967-03-01,59.0,2024,12,10,30207.0,28497.18,crossfit_6_mån_autogiro_fullt_medlemskap,744.0,975.0,186.0,345.0,,,345.0,2024-12-27,c1b2acc0-822b-46c6-878b-4387f8674475
2026-02-10 17:06:00,yes,2019-08-18,1986-10-01,40.0,2026,2,10,2774.9956,2617.92,klippkort_-_entré,13.0,492.0,1.0,2.0,2020-07-16,1.0,8.0,2026-02-26,039e941d-3c11-451e-90e1-4b592daaf9e3
2023-11-28 17:24:00,no,2019-08-28,1992-07-01,34.0,2023,11,28,31008.0,29252.859999999997,crossfit_6_mån_autogiro_fullt_medlemskap,836.0,883.0,3.0,98.0,2023-10-30,2.0,98.0,2023-11-26,31d2748f-0ee0-4442-b9ca-189cb6dca867
2023-12-15 05:58:00,yes,2019-09-09,1996-03-01,30.0,2023,12,15,4157.0,3921.71,fbb_ag_6mån,13.0,803.0,31.0,512.0,2026-01-22,2.0,512.0,2026-02-26,b9e8110d-2f3c-434b-9363-039565280179
2022-03-08 15:48:00,no,2019-09-17,2003-05-01,23.0,2022,3,8,2166.0,2043.42,teens_autogiro,1324.0,134.0,,4.0,2022-07-01,1.0,4.0,2022-07-28,6f454c37-4505-483a-af2d-42a2c7bbd0b8
2026-02-12 07:22:00,yes,2019-09-30,2001-09-01,25.0,2026,2,12,42484.0,40079.08,crossfit_12_mån_autogiro_student_fullt_medlemskap,13.0,1492.0,33.0,756.0,,,756.0,2026-02-26,e22372d4-c1b0-4006-a111-6fd95c8405e8
2026-02-11 09:35:00,yes,2019-12-05,1990-06-01,36.0,2026,2,11,55973.0,52804.74,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,73.0,428.0,,,428.0,2026-02-26,ad445a0d-1091-4a89-b40a-4db83ee41111
2025-01-26 13:11:00,no,2020-01-06,1992-10-01,34.0,2025,1,26,5144.0,4852.8099999999995,skåpshyra_12_mån_autogiro,1201.0,184.0,19.0,320.0,2023-12-21,3.0,320.0,2022-10-27,b41f9791-3adc-4d48-bebc-0fae00d72fa0
2026-02-11 15:03:00,yes,2020-01-10,1993-06-01,33.0,2026,2,11,51551.0,48633.03,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,199.0,320.0,,,320.0,2026-02-26,b27340e4-8931-4881-bf0e-c46b0f9bb9b8
2021-12-17 17:10:00,no,2020-01-10,1994-02-01,32.0,2021,12,17,5877.0,5544.33,crossfit_12_mån_autogiro_fullt_medlemskap,1536.0,183.0,20.0,45.0,2021-10-29,1.0,45.0,2021-12-29,c10b3f10-a303-4446-a9c5-f9f0e878d776
2021-10-22 17:02:00,no,2020-01-12,1993-12-01,33.0,2021,10,22,5094.0,4805.64,crossfit_12_mån_autogiro_student_fullt_medlemskap,1566.0,153.0,19.0,27.0,2021-11-29,1.0,27.0,2021-12-02,02c69935-5923-499f-a7ef-72ad90114e02
2025-11-07 09:43:00,yes,2020-04-12,1989-09-01,37.0,2025,11,7,40627.0,38327.32,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,14.0,173.0,2026-01-02,2.0,173.0,2026-02-26,8b9f938f-547e-42b6-a6db-347a6b7a1b89
2026-02-11 17:35:00,no,2020-04-21,1993-09-01,33.0,2026,2,11,38155.0,35995.3,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,147.0,247.0,2026-01-04,2.0,253.0,2026-02-26,109a0b39-5da4-4198-b551-7a794d77c2da
2021-11-12 11:44:00,no,2020-06-03,1992-01-01,34.0,2021,11,12,4914.0,4635.84,crossfit_6_mån_autogiro_fullt_medlemskap,1566.0,153.0,35.0,25.0,2021-10-12,1.0,25.0,2021-12-02,f79eea35-50f6-481d-81c9-5b2478b305f8
2025-01-28 05:48:00,no,2020-06-08,1994-09-01,32.0,2025,1,28,10471.0,9878.28,crossfit_12_mån_autogiro_fullt_medlemskap,1354.0,365.0,26.0,285.0,2022-05-10,1.0,285.0,2022-06-26,fc8e8c6e-1242-4847-a373-d1e1536d2fd8
2022-01-24 14:25:00,no,2020-07-10,2001-12-01,25.0,2022,1,24,7020.0,6622.610000000001,crossfit_12_mån_autogiro_student_fullt_medlemskap,1474.0,245.0,23.0,45.0,2022-01-24,1.0,45.0,2022-03-02,beee7922-cf9e-457b-8ac3-69028e251153
2023-05-03 07:54:00,no,2020-07-29,2005-04-01,21.0,2023,5,3,348.0,328.3,teens_autogiro,1685.0,0.0,13.0,63.0,2023-09-12,1.0,63.0,,5ed57976-f6b3-4a79-84c7-7956961f9e92
2023-06-13 08:33:00,no,2020-07-31,1996-01-01,30.0,2023,6,13,19089.0,18008.420000000002,crossfit_12_mån_autogiro_student_fullt_medlemskap,989.0,730.0,16.0,194.0,2023-05-15,1.0,194.0,2023-06-28,841e0f7e-94b8-4c1a-8501-b39dc5caba22
